[00:04:00] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:04:00] INFO | Active connection from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[00:04:00] INFO | ℹ Live traffic observed from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:04:00] INFO | ℹ Live traffic observed from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[00:04:20] INFO | Active connection from 10.186.171.135 | 35.237.69.59 -> 10.186.171.135
[00:04:20] INFO | Active connection from 35.237.69.59 | 35.237.69.59 -> 10.186.171.135
[00:04:20] INFO | ℹ Live traffic observed from 10.186.171.135 | 35.237.69.59 -> 10.186.171.135
[00:04:20] INFO | ℹ Live traffic observed from 35.237.69.59 | 35.237.69.59 -> 10.186.171.135
[00:05:08] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:05:08] INFO | Active connection from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[00:05:08] INFO | ℹ Live traffic observed from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:05:08] INFO | ℹ Live traffic observed from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[00:05:40] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:05:40] INFO | Active connection from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[00:05:40] INFO | ℹ Live traffic observed from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[00:05:40] INFO | ℹ Live traffic observed from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[19:29:33] INFO | Active connection from 10.186.171.135 | 8.8.8.8 -> 10.186.171.135
[19:29:33] INFO | Active connection from 8.8.8.8 | 8.8.8.8 -> 10.186.171.135
[19:29:33] INFO | ℹ Live traffic observed from 10.186.171.135 | 8.8.8.8 -> 10.186.171.135
[19:29:37] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 8.8.8.8
[19:29:41] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[19:29:42] INFO | Active connection from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[19:29:42] INFO | Active connection from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[19:29:42] INFO | ℹ Live traffic observed from 35.237.69.59 | 10.186.171.135 -> 35.237.69.59
[19:29:42] INFO | ℹ Live traffic observed from 10.186.171.135 | 10.186.171.135 -> 35.237.69.59
[19:30:04] INFO | Active connection from 10.186.171.135 | 35.237.69.59 -> 10.186.171.135
[19:30:04] INFO | Active connection from 35.237.69.59 | 35.237.69.59 -> 10.186.171.135
[19:30:10] INFO | Active connection from 57.144.209.32 | 35.237.69.59 -> 10.186.171.135
